NO;TGL_KOMITE;COMPANY;NO_TENDER;GOODS/SERVICES;ITEM_NAME;HARGA_SEBELUMNYA _(RP);TAHUN_PEMBELIAN_SEBELUMNYA;Purpose_Request;LINK_EPROC;PIC;VENDOR;SUMMARY_KOMITE;HASIL_FOLLOW_UP;REMARKS;VOTE;Notes
1;2025-10-28;LGTC;EPR/2510/00054;;PENGECATAN LGTC INTERIOR RUANG KELAS LGTC A & B BALARAJA;;;;;RENDI;3 vendor : Putra Mitra Semesta, Cahaya Karya Prakarsa, Enggal Bangun Jaya;Ibu sebelumnya sudah okein karena ajuannya eksterior dan interior, namun di LGTC B lt.2&4 ini ada bocor dan masuk ke sela-sela AC jadi dihold dulu yang interior;"Harga sebelumnya belum dinego dan sekarang sudah dinego. Info Pak David harga pasarnya 36.000 tapi ini sudah dibawahnya yaitu 34.000.

Nama File : ""Pengecetan Interior LGTC Vote Komite.pdf""
Nama File SPK : ""066 - SPK Pekerjaan Waterproofing Gedung LGTC B - Balaraja Done""";;CONFIRMED;
2;2025-11-11;GSE;EPR/2510/00022;;PERBAIKAN CONVEYOR DOLLIES LOADER (CDL 22 UNIT) & PALLET DOLLIES LOADER (PDL 6 UNIT) CGK;BELUM PERNAH PERBAIKAN;CDL = APRIL 2018 & PDL = JAN 2019;;;;;PT Banjar di PDL 5juta (lebih murah) daripada di CDL 8jt, jika CDL & PDL pakai vendor yang sama (PT Banjar), bisa ada pengurangan biaya di CDL?;;;;
3;2025-11-11;GSE;EPR/2510/00196;;PENGADAAN KABEL RECEPTACLE GPU ASSY 30FT & HOSE INSULATED TLD;BY EXCEL;;;;;;PO ke vendor termurah;Kabel  Gpu Assy,  Plug Assy Gpu AC, DC, Velg, Ban PDL & Spare Part Kend utk Trspt BLJ Ttl Rp.1.109.548.323. utk GSE Project Cgk, Distrik & utk Trspt BLJ rutin 6bln @ Rp.61.205.971;;;
4;2025-11-11;BOGA;EPR/2510/00304;;PENGADAAN MESIN DISHWASHER;;;;https://eproc.lionair.co.id/Internal/frmSummaryVendorKomite.aspx?ID=EPR/2510/00304;;;DONE;;;CONFIRMED;
5;2025-11-11;BOGA;EPR/2510/00262;;UNIT AHU WHO CONDITIONER;;;;;;;Makesure price-nya ke vendor;"Dengan vendor Eski Elektrik dengan total 1.465.200.000 (include PPn)

Memakai vendor Anugrah Tirta Artha :
- Harga saat komite : 1.656.900
- Harga setelah nego : 1.635.000
Memakai vendor Eski Elektrik :
- Harga saat komite : 1.390.000
- Harga setelah nego : 1.320.000";;;
6;2025-11-11;BOGA;EPR/2510/00264;;MESIN CHILLER AC;;;;;;;;"Memakai vendor Eski Elektrik:
- Harga saat komite : 432.000.000
- Harga setelah nego : 415.000.000 (diskon 17.000.000)
dengan total 460.650.000

Notes :
- Harga sudah termasuk PPN, namun blm termasuk potong PPH
- Garansi mesin & equipments selama 1 tahun
- Lama pekerjaan instalasi : 1-3 bulan";;;
7;2025-11-11;BOGA;EPR/2508/00105;;ATK STATIONARY (RUTIN); BY EXCEL ;;;;;;DONE;;;;
8;2025-11-11;BOGA;EPR/2510/00153;;MASKER, SARUNG TANGAN, HAIRNET (RUTIN); BY EXCEL ;;;;;;"1. Menggunakan PT Trasti
2. Follow up pengecekan sample di vendor baru
3. Sarung tangan pindah vendor dari Sapta ke Trasti";untuk sarung tangan sudah dipindahkan ke vendor Trasti;;;
9;2025-11-11;BOGA;EPR/2510/00157;;ALUMUNIUM & WRAP (RUTIN); BY EXCEL ;;;;;;"1. Follow up pengecekan sample di vendor baru
2. Pengecekan halal claimed";1. Tidak perlu halal, tapi butuhnya sertifikat foodgrade (sudah ada dan dicollect oleh Dept QA LB) dan tidak perlu sample lagi karena yang join tender vendor existing yang sudah pernah kasih sample sebelumnya;;;
10;2025-11-11;BOGA;EPR/2510/00199;;PLASTIK ROTI PNB (RUTIN); BY EXCEL ;;;;;;Cek kembali stock plastik ke Lion Boga;SOH sudah dilampirkan di summary tender. Dan nanti pada saat pengajuan akan diupdate juga SOH yang terbaru;;;
11;2025-11-11;BOGA;EPR/2510/00127;;PLASTIK MIKA, SENDOK DAN CAKE CASE (RUTIN); BY EXCEL ;;;;;;"1. Follow up pengecekan sample di vendor baru
2. Pengecekan halal claimed";"1. Hanya ada diskon di sendok & garpu set (20/pcs)
2. Tidak perlu halal, tapi butuhnya sertifikat foodgrade (sudah ada dan dicollect oleh Dept QA LB) dan tidak perlu sample lagi karena yang join tender vendor existing yang sudah pernah kasih sample sebelumnya";;;
12;2025-11-11;LEX;EPR/2510/00350;;CONTAINER OFFICE DISTRIK PKU (40 FT) DAN BKS (20 FT); 40 FT FRANCO KALIMANTAN RP. 300,000,000 DAN RP. 220,000,000 FRANCO SUMATRA EXC PPN ;2025;;;;;Set KPI untuk waktu request;"Container Office Own Sales BKS 20 ft menggunakan vendor RICH dengan:
- Harga Satuan : 220.000.000
- Diskon : 20.000.000
- PPn : 22.000.000
- Total : 222.000.000";;;
13;2025-11-11;LEX;EPR/2510/00349;;PROJECT 1 KECAMATAN 1 POS PLATINUM (REBRANDING); PROJECT BARU ;;;;;;;;;;
14;2025-11-11;LEX;EPR/2510/00372;;PENGADAAN KURSI DAN MEJA STAFF UNTUK TIM OPERATIONAL & TIM FIELD OCT LEX;MEJA Rp 885.000 (INCLD), KURSI Rp 431.000 (INCLD);;;;;;"1. Make sure ke gudang Lion Parcel, bagaimana keadaan meja dan kursi staffnya
2. Terkait AC (customer satisfaction), follow up untuk decision AC sentral atau AC fleet";;;;
15;2025-11-11;JT;EPR/2510/00250;;PENGADAAN AC 1/2 PK UNTUK MESS MT ( REQBLJJT09250031 & REQBLJJT10250027 );RP. 2.800.000;;;;;;PO ke vendor termurah;"Memakai vendor Tronindo Sukses Makmur :
- Harga sebelum nego : 2.650.000
- Harga setelah nego : 2.600.000";;;
16;2025-11-11;JT;EPR/2510/00351;;PENGADAAN AC 1/2 PK & 1 PK UNTUK MESS 3 PRAMUGARA BLOK K9 & PENGGANTIAN AC YANG SUDAH RUSAK ( REQBLJJT10250011 );RP. 2.800.000   & RP. 3.100.000;;;;;;;"Memakai vendor Tronindo Sukses Makmur :
AC 1/2 PK:
- Harga sebelum nego : 2.650.000
- Harga setelah nego : 2.600.000
AC 1 PK:
- Harga sebelum nego : 3.125.000
- Harga setelah nego : 3.100.000";;;
17;2025-11-11;JT;EPR/2510/00208;;PIPA GALVANIS SC40 3 INCHI;;;;;;;"1. Follow up vendor termurah di BTH dan kedua termurah di JKT
2. Negosiasi dengan vendor kedua termurah yang di JKT";;;;
18;2025-11-11;JT;EPR/2510/00433;;PERPINDAHAN MEJA RECEPCIONIST DAN REDESIGN INTERIOR LOBBY GEDUNG MERAH PERKANTORAN LOC;;;;;;;"1. Negosiasi harga ke PT. Sinergi Cipta Kreasi untuk renovasi
2. Confirm hapus sofa dari list PT. SCK dan kurangi biayanya";"1. Negosiasi harga dengan SCK untuk pekerjaan Lobby lt1
- Harga saat komite : 79.930.000
- Harga setelah nego : 67.930.000 (diskon 12juta)
Dengan total menjadi Rp. 97.446.900

2. Sofa, meja, dan kursi sudah tidak diajukan dalam invoice

Update:
- Menggunakan vendor Kevin Furniture
- Harga partisi sudah turun dan sudah dikirimkan gambar partisinya di grup komite";#NAME?;;
19;2025-11-11;JT;EPR/2510/00081;;PERBAIKAN DINDING DI RUANG STORE CGK K1 dan DINDING TEMPAT WUDHU GUDANG PENYIMPANAN CG02 GEDUNG EBU STA CGK;;;;;;;;;;;
20;2025-11-11;JT;EPR/2508/00048;;PENGERJAAN RUANGAN FLOPS BERSAMA KANTOR APO SURABAYA;;;;;;;"Follow up ke Ko David detail kebutuhan renovasi flops di Surabaya (Painting/Ceiling/Lighting) - BUAT
LEVEL (based on assessment, bantu membuat plan
level 1 - 3) ditujukan agar vendor tidak memberi harga tinggi. Deadline next week.";done;;;
21;2025-11-11;OD-CARGO;EPR/2510/00007;;PURCHASE OF SLAVE PALLET;NIL;;;;;;DONE;NEW pallet (before this, OD we dont have cargo warehouse, use 3rd party pos logistics);;;
22;2025-11-11;OD-FLIGHT OPS;EPR/2510/00004;;CABIN CREW LUGGAGE SET;"RM307.79
Trolley Bag - RM 170.60
Cosmetic Bag - RM 77
Hand Bag - RM 60.19";2024;;;;;DONE;initial quality not good from jakarta then we order from malaysia;;;
23;2025-11-11;OD-GROUND OPS;EPR/2510/00005;;CUSTOMER SERVICE UNIFORM;"CSO female shirt - RM 42
CSO male shirt - RM 40
PANTS - NEW
BELT - NEW";2024;;;;;DONE;quality not good and the size is small and malaysia price is cheaper (pls refer comparison price);;;
24;2025-11-11;OD-RAMP;EPR/2510/00006;;PURCHASE OF NEW CARGO ULD DOLLY & TRAILER;NIL;;;;;;DONE;NEW dolly & trailer (before this, OD we dont have cargo warehouse, use 3rd party pos logistics);;;
25;2025-11-11;SL;EPR/2510/00002;;Group Insurance 2026 OPD :1500;THB 5,929 (1916 staffs);2024;;;;;DONE;Staff health insurance (current 2823 staffs) - pls refer to SL insurance sheet;;;
26;2025-11-11;SL;EPR/2510/00003;;Group Insurance 2026 OPD :2000;;;;;;;DONE;Staff health insurance (never use before);;;
27;2025-11-11;BAT;EPR/2510/00017;;PENGAJUAN POMPA JOCKY HYDRANT DAN SERVICE POMPA DIESEL HYDRANT HANGAR BATAM;;;;;;;;"Memakai vendor PT Ilham Karya Teknologi:
Pompa Jockey
- Harga awal : 39.000.000
- Harga setelah nego : 38.000.000 (diskon 1.000.000)
Service Pompa Diesel
- Harga awal : 61.200.000
- Harga setelah nego : 60.200.000 (diskon 1.000.000)

Notes :
- Pembayaran DP 50%, 50% after done
- Lead time pengerjaan 30 days";;;
28;2025-11-11;BAT;EPR/2509/00104;;PENGADAAN LAMPU PJU UNTUK HANGAR BATAM;;;;;;;;"Memakai vendor PT Momentum Otomasi:
- Harga awal : 72.560.780
- Harga setelah nego : 72.000.000 (diskon 560.780)

Notes :
- DP 30%, 70% after finish
- Lead time pengerjaan 1 bulan
- Tipe lampu merupakan tipe lampu biasa, bukan baterai/solar sistem
- Warranty 1 tahun all in";;;
29;2025-11-11;BAT;EPR/2510/00151;;PRNGADAAN TOOL INVENTORY HANGAR E AND G (BATAM);;;;;;;DONE;"Memakai vendor PT Long Time (Autorize Distributor Makita) dan sudah melakukan negosiasi sehingga sudah mendapatkan diskon di setiap itemnya dengan total final Rp. 399.438.000

Notes:
- Untuk Makita tool di langsung ke distributor-nya (long time) dengan garansi pemakaiann 1 tahun dan dskon net 10%
- barang ready
- payment term 30 hari";"Pengajuan ulang dan finalnya pakai vendor PT Salam Jaya dengan total final Rp. 192.600.000

NOTES :
PT SALAM JAYA DIKIRIM SETELAH PO DENGAN LEADTIME 1 ATAU 2 MINGGU 
GARANSI PEMAKAIAN 6 MONTHS
PAYMENT TERM 30 HARI

File sebelumnya : ""EPR-2510-00001 & EPR-2510-00151 sebelumnya""
File terbaru ""EPR-2510-00001 , EPR-2510-00151 BAT""";CONFIRMED;
30;2025-11-11;BAT;EPR/2510/00148;;PEKERJAAN LOGO BATAM AERO TECHNIC HANGAR F;;;;;;;;;;;
31;2025-11-11;BAT;EPR/2510/00001;;PENGADAAN TOOLS UNTUK OPERATIONAL SHOP BATAM;;;;;;;DONE;"Memakai vendor PT Long Time (Autorize Distributor Makita):
18V LXT Cordless 13MM Hammer Driver Drill
- Harga awal : 4.690.000
- Harga setelah nego : 4.221.000 (diskon 469.000)
40V Max Lithium-Ion BL4080F
- Harga awal : 7.960.000
- Harga setelah nego : 7.164.000 (diskon 796.000)
40V Max XGT 4.0 AH Luthium-Ion Battery BL4040
- Harga awal : 5.040.000
- Harga setelah nego : 4.536.000 (diskon 504.000)
40V Max XGT Rapid Optimum Charger PN DC40RA
- Harga awal : 2.880.000
- Harga setelah nego : 2.592.000 (diskon 288.000)
40V Max XGT BL Cordless 24L Dust Class Hepa Vacuum Sweeper
- Harga awal : 36.790.000
- Harga setelah nego : 33.111.000 (diskon 3.679.000)
Cordless Flashlight
- Harga awal : 1.540.000
- Harga setelah nego : 1.386.000 (diskon 154.000)
Cordless Worklight
- Harga awal : 8.130.000
- Harga setelah nego : 7.317.000 (diskon 813.000)
Makita/Equivalent
- Harga awal : 2.980.000
- Harga setelah nego : 2.682.000 (diskon 298.000)
XGT BL Brushless Cordless Driver Drills 13MM
- Harga awal : 3.690.000
- Harga setelah nego : 3.321.000 (diskon 369.000)
Dengan total : Rp. 90.594.000

Notes:
- Untuk Makita tool di langsung ke distributornya (long time) dengan garansi pemakaian 1 tahun dan diskon net 10%
- barang ready
- payment term 30 hari";"Sebelumnya di grup komite sudah diajukan vote tapi skrg diulang karena dahulu dgn price segitu diminta dikurangin dgn barang yg sangat dibutuhkan dahulu.

Jadinya, vendor pemenang di PT Salam Jaya dengan beberapa list yang dicancel yaitu 40V Max XGT 4.0 AH Luthium-Ion Battery BL4040, Makita/Equivalent, dan XGT BL Brushless Cordless Driver Drills 13MM. 
Dan barangnya tinggal satu2 Salam Jaya (gak ada lg yg ready). Salam Jaya sudah dihubungi sebelumnya sm Mas Fadjri untuk siapin tool ini karena sudah butuh usernya.

Sudah dinego dan totalnya lebih murah dari vote sebelumnya yaitu 318.410.000

Data sebelumnya ""EPR-2510-00001 & EPR-2510-00151 sebelumnya""
Data terbaru : ""EPR-2510-00001 , EPR-2510-00151 BAT""
Data satu lagi ""EPR-2510-00001 BAT""

Yang scrubber dihold";CONFIRMED;
32;2025-11-11;BAT;EPR/2511/00001;;PENGADAAN AC CENTRAL (DAIKIN) UNTUK CUSTOMER EXPERIENCE CENTER - BATAM;;;;;;;DONE;Pengadaan AC sebelumnya yg mau pake AC Sentral/ ga di followup, ductingnya sudah dipasang jadi kayaknya pakai ac sentral (final 257.384.500);;;
33;2025-11-12;JT;EPR/2511/00015;;PERBAIKAN DAK ATAP GEDUNG LGTC B (WATERPROOFING LGTC B);170.000/m2;;;;;2 vendor (Prefer Vipasindo karena vendor Prokon tidak disarankan);"Condition : untuk waterproofing akan dijalankan, sudah dicek oleh Audit

Follow Up : 
1. Foto letak titik pemasangan AC 
2. Nego harga ke vendor Vipasindo";"Hasil nego dengan Vipasindo : diskon 4.240.000 untuk 1 lot mobdemob+support+safety
- Harga saat komite : 5.000.000
- Harga setelah nego : 760.000";;;
34;2025-11-12;JT;EPR/2510/00188;;RENOVASI BESAR MESS 3 PRAMUGARA J07 Unit 18-33;;;;;;4 vendor (720 juta utk 16 unit);"Condition : dinding banyak retak dan keropos, selokan tersumbat, ada 16 unit yang perlu direnov, butuh perbaikan baik exterior & interior, RAB sudah dicek oleh Audit

Follow Up :
1. Cek harga di project sebelumnya (Mess K9 & K10) dan dicompare ke tim Ananta";Sudah cek harga dengan RAB lama dan sudah disesuaikan kembali based on pengecekan Ko David (data Ananta terlampir);;;
35;2025-11-12;JT;EPR/2510/00176;;RENOVASI BESAR MESS 3 PRAMUGARA M02 Unit 26-45;;;;;;4 vendor (Untuk historical project mitra yang baru Putra Mitra di BMS hasilnya bagus);"Condition : dengan tambahan perbaikan carport, perbaikan 16 unit, dinding rusak dan keropos, interior kusen hancur, plafon rusak, selokan tersumbat, kerusakan berawal dari pembangunan awal (kontraktornya), sudah dicek ke lapangan dan cek company profile contractor

Follow Up :
1. Cek harga dengan RAB lama (tim Ananta)
2. Cek project sebelumnya dengan bu Eko";Sudah cek harga dengan RAB lama dan sudah disesuaikan kembali based on pengecekan Ko David (data Ananta terlampir);;;
36;2025-11-12;GSE;EPR/2511/00042;;PENGADAAN BAN & VELG UNIT PDL (PALLET DOLLIES LOADER) - 40 SET; BAN RP 1.250.000/PCS DI YORIN, VELG BELUM PERNAH BELI ;2024;;;;3 vendor (Pindah ke Sinar Karya dengan harga 1.100.000);"Condition : kebutuhan ban 40 unit dan velg 40 unit, dan belum pernah ada pembelian di velg

Follow Up : 
1. Nego ke SKAT";"Harga sebelum nego : 1.100.000
Harga setelah nego : 1.050.000 (diskon 50.000/EA)";;;
37;2025-11-12;TRANSPORT BLJ;EPR/2511/00024;;PENGADAAN SPAREPART KENDARAAN BLJ ( Air Suspensi ScaniaPatria LBT 10 DLL );BY EXCEL;;;;;4 vendor : Maju Sanjaya, Sinaga Sukses, Yorin, Auto Dinamika Mandiri. Untuk velg pakai vendor Auto Dinamika Mandiri;"Follow Up :
1. Cek vendor baru-nya PT Auto Dinamika Mandiri di Sumatera";"Untuk 3 vendor lama, sudah dinego kembali dan memberikan diskon :
- Maju Sanjaya : diskon 5%
- CV Sinaga Sukses : diskon 5%
- PT Yorin : velg diskon 600.000/EA dan per belakang 75.000/EA";;;
38;2025-11-12;TRANSPORT BOGA;EPR/2510/00280;;PENGADAAN SPAREPART KENDARAAN BOGA ( HANDLE PINTU DLL );BY EXCEL, 7 jutaan di vendor sebelumnya (yorin);;;;;4 vendor;"Condition : kebutuhan lebih banyak sparepart truck Fuso, vendor masih sama seperti kendaraan BLJ, kebutuhan ini biasanya ada setiap bulan

Follow Up :
1. Mix dengan vendor harga terendah";Menggunakan 2 vendor (CV SInaga Sukses dan PT Yorin) dengan diskon 5%;;;
39;2025-11-12;BAT;EPR/2510/00195;;PENGADAAN REFIL TONER (printer) 285 A LASER JET DAN 695 A HANGGAR BATAM HARGA MENGIKAT 6 BULAN;60.000;11 OKTOBER 2025;;;;7 vendor;"Condition : Refill toner 285 butuh 30 unit, pembelian sebelumnya last month. Refill toner 695 dengan harga 750.000, pembelian refill ini untuk kebutuhan selama 6 bulan. Sebelumnya vendor Global Print namun di batam, sehingga diganti Warna Warni Kreasi dan refill tidak perlu dibalikin ke batam dan langsung buang

Follow Up :
1. Untuk 6 bulan itu, kirim bertahap";;;;
40;2025-11-12;BAT;EPR/2510/00003;;PENGADAAN FLAMMABLE CABINET UNTUK SHOP K253 (shop procurement) BATAM;18,000,000;16-May-25;;;;5 vendor (dari China);"Condition : Sebelumnya beli di Kawan Lama, kabinet tersebut harus memiliki spesifikasi COFC, saat ini stocknya belum ada di lokasi karena belum pernah ada penyimpanan chemical

Follow Up : 
Cek sertifikasi COFC vendor PT Salam";Sertifikasi masih belum dapat jawabannya dari purchasing BTH;;;
41;2025-11-12;BAT;EPR/2510/00021;;FLAMMABLE CABINET UKURAN 12 GAL;;;;;;5 vendor;"Condition : Penempatan akan di store warehouse CGK, sebelumnya belum pernah ada dan penyimpanan ini dengan ukuran pilox

Follow Up :
1. Pastikan eligibility vendor Kawan Lama
2. Cek sertifikasi COFC vendor PT Salam";Sertifikasi masih belum dapat jawabannya dari purchasing BTH;;;
42;2025-11-12;BAT;EPR/2510/00192;;PENGADAAN LEMARI BESI DOKUMEN, LEMARI BESI 2 PINTU DAN LOCKER 6 pintu (BATAM) - untuk hanggar D & F painting;;permintaan baru (no history);;;;;"Condition : terlalu banyak kebutuhan lokernya

Follow Up :
1. Cek nama-nama staff di hanggar dan berapa jumlahnya";"belum update lagi untuk nama-namanya

Ada penambahan capacity pada hangar D&F, pembayaran tempo 30 hari";;;
43;2025-11-12;BAT;EPR/2510/00152;;PENGADAAN SCRUBER DRIER, FLAMBLE SAFETY CABINET DAN RAK BESI 4 SUSUN (BATAM);;;;;;7 vendor (Untuk scrubber pakai vendor Veliz Niaga Utama);"Condition : permintaan untuk di engine storage, jika pinjam agak sulit karena pemindahannya harus menggunakan forklift dengan jarak 50 meter dan jalanannya semen sehingga sulit dipindah

Follow Up :
1. Cek vendor Salam
2. Untuk scrubber, cek vendor lainnya untuk compare harga";"1. Vendor Salam sudah dicek, untuk rak besi 4 susun tidak ada diskon dengan harga 2.600.000 per unit (26.000.000), untuk safety cabinet memberikan diskon:
- Harga awal : 18.700.000
- Harga setelah nego : 18.000.000

Untuk Rak : Terdapat penambahan dari rak sebelumnya, user sesuai dengan rak tersebut, pembayaran tempo 30 hari
Untuk cabinet : barang ready dan tersedia cofc/sertifikat, tempo 60 hari 

2. Scrubber memakai vendor Veliz Niaga Utama
- Harga awal : 54.000.000
- Harga setelah nego : 50.000.000 (diskon 4.000.000)

Untuk scrubber, inden barang 4 minggu, payment 30 days after receive";;;
44;2025-11-12;SL;EPR/2511/00001;;Toyota Van (Down Payment 20% / Installment 36 month);1,511,224.15 THB (this price is manual gear, don't have rear-view camera and rear parking sensor);2024;;;;2 vendor (Toyota Nonthaburi Company & Toyota Nakornthan);"Condition : provide 5 people in the car, yang dibutuhkan van dengan spesifikasi rear parking sensor, only open to Toyota, di GSE hanya ada 2 untuk support acara dan penjemputan Cabin Crew

Follow Up : 
1. Sesuaikan kebutuhan tipe mobilnya (jika untuk pengiriman document, tidak perlu yang spesifikasi lengkap)
2. Nego harga dengan vendor
3. Follow up ke bank apakah ada kredit agar harga lebih murah";;;;
45;2025-11-12;SL;EPR/2511/00005;;Printing - Found Property Report and Letter of Indemnity Form;Found Property Report  = 30 THB;2020;;;;;Tidak dibahas di committee;;;;
;2025-11-12;;;;;Letter of Indemnity Form = 125 THB;2022;;;;;Tidak dibahas di committee;;;;
46;2025-11-12;BAT ;EPR/2509/00113;;SQUID - VEHICLE TRACKING SYSTEM;NEW ;;;;;1 vendor;"Condition : permintaan dari delta BAT CGK, Squid ini untuk pemanduan movement pesawat, belum pernah ada pembelian, akan dipasangkan di CGK pada AOV dan Pushback Car

Follow Up : 
1. Follow up terkait Squid ini dengan pembina LM";"Harga sudah tidak bisa diskon kembali

1. Sudah dibicarakan dengan pembina LM dan memang dibutuhkan, harga sudah dinego, harga sudah tidak bisa kurang karena barang impor mengikuti kurs Euro";follup harga dan kebutuhan berapa, posisi pemasangan dimana, kebutuhannya ini datang dari siapa;;
47;2025-11-12;GSE SL;to be confirm;;to be confirm;to be confirm;to be confirm;;;;to be confirm;"Condition : Price comparison before negotiate 270 juta, after negotiate 260 juta, terdapat 24 items, ada yang replacement dan pengajuan baru, untuk replacement karena tools sudah rusak

Follow Up :
1. Detail 24 poin tersebut dan detailing pengajuan";24 poin terlampir;;;
48;2025-11-20;LB;EPR/2510/00126;;SEAL MTS 05;60,439;KARYA GEMILANG INDONUSA;;;;3 vendor (prefer Purata, karena lebih murah);"Condition : kebutuhan untuk seal trolley & seal box container, merupakan barang rutin, pengajuan quantity sudah sesuai untuk 6 bulan

Follow Up :
1. Akan ada call dengan Pak Mundhi jam 3 sore
2. Minta sample dari vendor Purata";"1. Sample Purata on trial
2. Dry ice ok ijin import kalo emang udah paling best price compared to import dari Indonesia area lain";;;
49;2025-11-20;LB;EPR/2510/00126;;SEAL PTS 06;35,687;KARYA GEMILANG INDONUSA;;;;3 vendor (prefer Karya Gemilang);"Condition : kebutuhan untuk seal trolley & seal box container, merupakan barang rutin, pengajuan quantity sudah sesuai untuk 6 bulan

Follow Up :
1. Akan ada call dengan Pak Mundhi jam 3 sore
2. Minta sample dari vendor Purata";"1. Sample Purata on trial
2. Dry ice ok ijin import kalo emang udah paling best price compared to import dari Indonesia area lain";;;
50;2025-11-20;LEX;EPR/2510/00418;;BRANDING SHOPSIGN NEW CEO LIOLIO DISTRIK PLM DAN SUB 167 POS;NEW Rp. 2,400,000 REVISUAL RP. 1,500,000 SURVEY RP 100,000 EXC PPN;2025 (DETAK, CAKRA, ARVINDO);;;;4 vendor : Bentang Inti Aksara, Detak Nadi Indonesia, Nirwana Production, Karya Merapi Indonesia;"Condition : terdapat tambahan pada design, item dibagi menjadi Jasa Survey, Revisual, dan Shopsign
- Revisual : yang diganti hanya bannernya
- Shopsign : banner beserta kerangka dan lampunya

Follow Up :
1. Cek sample dan survey ke vendor baru - Nirwana";"Menggunakan vendor Bentang Inti Aksara dengan total 438.450.000 :
- Harga pada e-Proc = 403.359.000
- Diskon = 8.359.000
- PPn = 43.450.000

Nirwana akan disurvey dan cek sample untuk next project, karena perlu waktu sedangkan project ini diminta segera oleh LP";;;
51;2025-11-20;LEX;EPR/2510/00419;;BRANDING SHOPSIGN NEW CEO LIOLIO DISTRIK BDO ONLY 88 POS;NEW Rp. 2,400,000 REVISUAL RP. 1,500,000 SURVEY RP 100,000 EXC PPN;2025 (DETAK, CAKRA, ARVINDO);;;;4 vendor : Bentang Inti Aksara, Detak Nadi Indonesia, Nirwana Production, Karya Merapi Indonesia;"Condition : membutuhkan 88 unit, kondisi sama dengan EPR/2510/00418, hanya berbeda di areanya - Bandung

Follow Up :
1. Cek sample dan survey ke vendor baru - Nirwana";"Menggunakan vendor Bentang Inti Aksara dengan total 225.330.000 :
- Harga pada e-Proc = 211.357.200
- Diskon = 8.357.200
- PPn = 22.330.000

Nirwana akan disurvey dan cek sample untuk next project, karena perlu waktu sedangkan project ini diminta segera oleh LP";;;
52;2025-11-20;LEX;EPR/2510/00420;;BRANDING SHOPSIGN NEW CEO LIOLIO JALAN SEKUNDER P2 DAN P3 MANAGE CITY (PLM, SUB, BDO) 128 POS;NEW Rp. 2,400,000 REVISUAL RP. 1,500,000 SURVEY RP 100,000 EXC PPN;2025 (DETAK, CAKRA, ARVINDO);;;;4 vendor : Bentang Inti Aksara, Detak Nadi Indonesia, Nirwana Production, Karya Merapi Indonesia;"Condition : untuk di jalan-jalan strategis Lion Parcel

Follow Up :
1. Cek sample dan survey ke vendor baru - Nirwana";"Menggunakan vendor Bentang Inti Aksara dengan total 338.550.000 :
- Harga pada e-Proc = 311.310.000
- Diskon = 6.310.000
- PPn = 33.550.000

Nirwana akan disurvey dan cek sample untuk next project, karena perlu waktu sedangkan project ini diminta segera oleh LP";;;
53;2025-11-20;LEX;EPR/2510/00372;;PENGADAAN KURSI DAN MEJA STAFF UNTUK TIM OPERATIONAL & TIM FIELD OCT LEX; MEJA Rp 885.000 (INCLD), KURSI Rp 431.000 (INCLD) ;PENGADAAN BARU ;;;;3 vendor;"Condition : sebelumnya tidak ada dan mereka sharing meja (diperkirakan kursi dan meja bertahan 3 tahun ke atas)

Follow Up :
1. Cek kebutuhan meja dan kursinya (historical pembelian kursi di tahun sebelumnya)";"Adapun alasan permintaan ini adalah : 
1. Meja kerja dan Kursi kerja ini diperuntukan untuk fasilitas staff Tim Operasional , Tim OCT Field (RETURN) & Tim RA megahub yang 
belum mendapatkan meja & kursi kerja.
2. Kondisi staff dari Tim Operasional di gedung kedoya yang belum mendapatkan meja dan kursi kerja terpaksa harus bergantian 
menggunakan / berbagi kursi dan meja kerja
3. Untuk kondisi Tim OCT Field (Return) yang ada di Hub menggunakan fasilitas meja dan kursi se adanya yang meminjam dari Tim 
Operasional di hub dan selebihnya menggunakan barang – barang yang bisa dijadikan kursi dan meja sementara , karna kondisi meja dan 
kursi yang sudah tidak layak di karenakan meja dan kursi yang tersebar di hub rata-rata pengadaan tahun 2020.";;;
54;2025-11-20;ID;EPR/2510/00091;;KURSI MANAGER;RP.2.499.000,-;MEI 2024;;;;3 vendor : Singa Sakti Furnindo, Kevin Furniture, PT Pradipta Adiwangsa Utama Suksesindo (prefer Singa Sakti);"Condition : sebelumnya hanya kursi biasa

Follow Up :
1. Perlu dicek ke KK ID oleh Capt. Ariga
2. Dicek apakah permintaan KK ini sendiri atau memang arahan dari management";masih dihold;;;
55;2025-11-20;ID;EPR/2510/00091;;KURSI STAFF U;RP. 565.250,-;JUNI 2024;;;;3 vendor : Singa Sakti Furnindo, Kevin Furniture, PT Pradipta Adiwangsa Utama Suksesindo (prefer Singa Sakti);"Condition : sandaran kursi sudah banyak yang lepas

Follow Up :
1. Silahkan PO kursi staff terlebih dahulu - ke vendor Singa Sakti";DONE PO - SINGA SAKTI;;;
56;2025-11-20;ID;EPR/2510/00091;;LOCKER 5 PINTU;RP. 1.350.000,-;MEI 2025;;;;3 vendor : Singa Sakti Furnindo, Kevin Furniture, PT Pradipta Adiwangsa Utama Suksesindo (prefer Singa Sakti);"Condition : sebelumnya belum ada loker, dan staff naruh barang secara asal

Follow Up :
1. Dicek kembali (hold)";hold;;;
